timestamp,cause,delay,line,message
2015-09-03 06:16:00,did not operate,8,blue,"A Largo Town Center-bound Blue Line train at King Street did not operate, resulting in an 8-minute gap in service."
2015-09-03 06:18:00,expressed,0,blue,A Largo Town Center-bound Blue Line train at Capitol South was delayed due to late clearing track work. Several trains were single tracked around the incident and several trains were offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced delays up to 30 minutes.
2015-09-03 07:03:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-09-03 07:23:00,brake problem,5,red,A Shady Grove-bound Red Line train at Rhode Island Avenue was offloaded due to a brake problem. Passengers experienced a 5-minute delay.
2015-09-03 07:57:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-09-03 08:17:00,did not operate,6,yellow,"A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service."
2015-09-03 13:25:00,operational problem,6,yellow,A Fort Totten-bound Yellow Line train at L'Enfant Plaza was delayed 6 minutes due to an operational problem.
2015-09-03 16:05:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-03 16:16:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-03 16:36:00,equipment problem,9,red,A Grosvenor-Strathmore-bound Red Line train at Tenleytown was offloaded due to an equipment problem. Passengers experienced a 9-minute delay.
2015-09-03 16:43:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-03 16:52:00,did not operate,6,yellow,"A Mt. Vernon Square-bound Yellow Line train at Archives did not operate, resulting in a 6-minute gap in service."
2015-09-03 17:13:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Southern Avenue did not operate, resulting in a 6-minute gap in service."
2015-09-03 17:29:00,signal problem,15,green,A Branch Avenue-bound Green Line train at Southern Avenue was delayed 15 minutes due to a signal problem.
2015-09-03 17:34:00,equipment problem,4,silver,A Largo Town Center-bound Silver Line train at Foggy Bottom was offloaded due to an equipment problem. Passengers experienced a 4-minute delay.
2015-09-03 17:35:00,did not operate,6,yellow,"A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service."
2015-09-03 17:40:00,equipment problem,8,blue,A Largo Town Center-bound Blue Line train at Foggy Bottom was offloaded due to an equipment problem. Passengers experienced an 8-minute delay.
2015-09-03 18:07:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-03 18:34:00,equipment problem,3,orange,A Vienna-bound Orange Line train at Court House was offloaded due to an equipment problem. Passengers experienced a 3-minute delay.
2015-09-03 18:39:00,expressed,0,silver,A Wiehle-Reston East-bound Silver Line train at Court House was rerouted to Vienna for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-09-03 18:58:00,brake problem,4,blue,A Franconia-Springfield-bound Blue Line train at Stadium-Armory was offloaded due to a brake problem. Passengers experienced a 4-minute delay.
2015-09-03 19:40:00,misc,4,red,A Shady Grove-bound Red Line train at Farragut North was delayed 4 minutes due to an unattended package.
2015-09-02 06:00:00,equipment problem,8,red,A Shady Grove-bound Red Line train at Wheaton was offloaded due to an equipment problem. Passengers experienced an 8-minute delay.
2015-09-02 06:04:00,did not operate,8,blue,"A Largo Town Center-bound Blue Line train at King Street did not operate, resulting in an 8-minute gap in service."
2015-09-02 06:58:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-09-02 07:01:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-02 07:10:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-09-02 07:16:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-02 07:49:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-02 07:52:00,door problem,9,red,A Grosvenor-Strathmore-bound Red Line train at Union Station was offloaded due to a door problem. Passengers experienced a 9-minute delay.
2015-09-02 08:04:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-02 08:06:00,door problem,4,yellow,A Huntington-bound Yellow Line train at Archives was offloaded due to a door problem. Passengers experienced a 4-minute delay.
